"","id","from","to","trans","Tstart","Tstop","time","status","A","M","C","A.1","A.2","A.3","M.1","M.2","M.3","C.1","C.2","C.3"
"1",1,1,2,1,0,0,0,0,1,0.068,0,1,0,0,0.068,0,0,0,0,0
"2",1,1,3,2,0,0,0,1,1,0.068,0,0,1,0,0,0.068,0,0,0,0
"3",2,1,2,1,0,0,0,0,1,0.072,0,1,0,0,0.072,0,0,0,0,0
"4",2,1,3,2,0,0,0,1,1,0.072,0,0,1,0,0,0.072,0,0,0,0
"5",3,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"6",3,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"7",3,2,3,3,0,1.247,1.247,1,1,0,1,0,0,1,0,0,0,0,0,1
"8",4,1,2,1,0,0.238,0.238,1,0,0.238,0,0,0,0,0.238,0,0,0,0,0
"9",4,1,3,2,0,0.238,0.238,0,0,0.238,0,0,0,0,0,0.238,0,0,0,0
"10",4,2,3,3,0.238,0.521,0.283,1,0,0.238,0,0,0,0,0,0,0.238,0,0,0
"11",5,1,2,1,0,0.001,0.001,1,0,0.001,1,0,0,0,0.001,0,0,1,0,0
"12",5,1,3,2,0,0.001,0.001,0,0,0.001,1,0,0,0,0,0.001,0,0,1,0
"13",5,2,3,3,0.001,0.232,0.231,1,0,0.001,1,0,0,0,0,0,0.001,0,0,1
"14",6,1,2,1,0,0.589,0.589,1,0,0.589,1,0,0,0,0.589,0,0,1,0,0
"15",6,1,3,2,0,0.589,0.589,0,0,0.589,1,0,0,0,0,0.589,0,0,1,0
"16",6,2,3,3,0.589,0.821,0.232,1,0,0.589,1,0,0,0,0,0,0.589,0,0,1
"17",7,1,2,1,0,0.194,0.194,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
"18",7,1,3,2,0,0.194,0.194,1,0,0.5,0,0,0,0,0,0.5,0,0,0,0
"19",8,1,2,1,0,0,0,0,1,0.038,0,1,0,0,0.038,0,0,0,0,0
"20",8,1,3,2,0,0,0,1,1,0.038,0,0,1,0,0,0.038,0,0,0,0
"21",9,1,2,1,0,0,0,0,1,0.365,0,1,0,0,0.365,0,0,0,0,0
"22",9,1,3,2,0,0,0,1,1,0.365,0,0,1,0,0,0.365,0,0,0,0
"23",10,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"24",10,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"25",10,2,3,3,0,0.873,0.873,1,1,0,1,0,0,1,0,0,0,0,0,1
"26",11,1,2,1,0,0.167,0.167,1,0,0.167,0,0,0,0,0.167,0,0,0,0,0
"27",11,1,3,2,0,0.167,0.167,0,0,0.167,0,0,0,0,0,0.167,0,0,0,0
"28",11,2,3,3,0.167,1.384,1.217,1,0,0.167,0,0,0,0,0,0,0.167,0,0,0
"29",12,1,2,1,0,0.883,0.883,1,0,0.883,1,0,0,0,0.883,0,0,1,0,0
"30",12,1,3,2,0,0.883,0.883,0,0,0.883,1,0,0,0,0,0.883,0,0,1,0
"31",12,2,3,3,0.883,1.509,0.626,1,0,0.883,1,0,0,0,0,0,0.883,0,0,1
"32",13,1,2,1,0,0.936,0.936,0,0,1.844,1,0,0,0,1.844,0,0,1,0,0
"33",13,1,3,2,0,0.936,0.936,1,0,1.844,1,0,0,0,0,1.844,0,0,1,0
"34",14,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"35",14,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"36",14,2,3,3,0,4.905,4.905,0,1,0,1,0,0,1,0,0,0,0,0,1
"37",15,1,2,1,0,0.073,0.073,0,0,0.861,0,0,0,0,0.861,0,0,0,0,0
"38",15,1,3,2,0,0.073,0.073,1,0,0.861,0,0,0,0,0,0.861,0,0,0,0
"39",16,1,2,1,0,0.177,0.177,0,0,0.789,0,0,0,0,0.789,0,0,0,0,0
"40",16,1,3,2,0,0.177,0.177,1,0,0.789,0,0,0,0,0,0.789,0,0,0,0
"41",17,1,2,1,0,0,0,0,1,0.734,0,1,0,0,0.734,0,0,0,0,0
"42",17,1,3,2,0,0,0,1,1,0.734,0,0,1,0,0,0.734,0,0,0,0
"43",18,1,2,1,0,0,0,0,1,0.249,0,1,0,0,0.249,0,0,0,0,0
"44",18,1,3,2,0,0,0,1,1,0.249,0,0,1,0,0,0.249,0,0,0,0
"45",19,1,2,1,0,0.134,0.134,0,0,3.033,1,0,0,0,3.033,0,0,1,0,0
"46",19,1,3,2,0,0.134,0.134,1,0,3.033,1,0,0,0,0,3.033,0,0,1,0
"47",20,1,2,1,0,0.585,0.585,1,0,0.585,0,0,0,0,0.585,0,0,0,0,0
"48",20,1,3,2,0,0.585,0.585,0,0,0.585,0,0,0,0,0,0.585,0,0,0,0
"49",20,2,3,3,0.585,0.865,0.28,1,0,0.585,0,0,0,0,0,0,0.585,0,0,0
"50",21,1,2,1,0,0.129,0.129,0,0,1.004,0,0,0,0,1.004,0,0,0,0,0
"51",21,1,3,2,0,0.129,0.129,1,0,1.004,0,0,0,0,0,1.004,0,0,0,0
"52",22,1,2,1,0,0,0,0,1,2.529,0,1,0,0,2.529,0,0,0,0,0
"53",22,1,3,2,0,0,0,1,1,2.529,0,0,1,0,0,2.529,0,0,0,0
"54",23,1,2,1,0,0.094,0.094,1,0,0.094,1,0,0,0,0.094,0,0,1,0,0
"55",23,1,3,2,0,0.094,0.094,0,0,0.094,1,0,0,0,0,0.094,0,0,1,0
"56",23,2,3,3,0.094,0.192,0.098,1,0,0.094,1,0,0,0,0,0,0.094,0,0,1
"57",24,1,2,1,0,0.297,0.297,0,0,0.344,0,0,0,0,0.344,0,0,0,0,0
"58",24,1,3,2,0,0.297,0.297,1,0,0.344,0,0,0,0,0,0.344,0,0,0,0
"59",25,1,2,1,0,0.133,0.133,0,0,0.601,0,0,0,0,0.601,0,0,0,0,0
"60",25,1,3,2,0,0.133,0.133,1,0,0.601,0,0,0,0,0,0.601,0,0,0,0
"61",26,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"62",26,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"63",26,2,3,3,0,1.486,1.486,0,1,0,1,0,0,1,0,0,0,0,0,1
"64",27,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"65",27,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"66",27,2,3,3,0,0.99,0.99,1,1,0,1,0,0,1,0,0,0,0,0,1
"67",28,1,2,1,0,0,0,0,1,0.074,0,1,0,0,0.074,0,0,0,0,0
"68",28,1,3,2,0,0,0,1,1,0.074,0,0,1,0,0,0.074,0,0,0,0
"69",29,1,2,1,0,0.364,0.364,1,0,0.364,1,0,0,0,0.364,0,0,1,0,0
"70",29,1,3,2,0,0.364,0.364,0,0,0.364,1,0,0,0,0,0.364,0,0,1,0
"71",29,2,3,3,0.364,0.44,0.076,1,0,0.364,1,0,0,0,0,0,0.364,0,0,1
"72",30,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"73",30,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"74",30,2,3,3,0,11.188,11.188,0,1,0,1,0,0,1,0,0,0,0,0,1
"75",31,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"76",31,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"77",31,2,3,3,0,0.354,0.354,0,1,0,1,0,0,1,0,0,0,0,0,1
"78",32,1,2,1,0,0,0,0,1,0.221,0,1,0,0,0.221,0,0,0,0,0
"79",32,1,3,2,0,0,0,1,1,0.221,0,0,1,0,0,0.221,0,0,0,0
"80",33,1,2,1,0,0.418,0.418,0,0,1.507,0,0,0,0,1.507,0,0,0,0,0
"81",33,1,3,2,0,0.418,0.418,1,0,1.507,0,0,0,0,0,1.507,0,0,0,0
"82",34,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"83",34,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"84",34,2,3,3,0,2.008,2.008,0,1,0,1,0,0,1,0,0,0,0,0,1
"85",35,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"86",35,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"87",35,2,3,3,0,2.173,2.173,1,1,0,1,0,0,1,0,0,0,0,0,1
"88",36,1,2,1,0,0,0,0,1,0.123,0,1,0,0,0.123,0,0,0,0,0
"89",36,1,3,2,0,0,0,1,1,0.123,0,0,1,0,0,0.123,0,0,0,0
"90",37,1,2,1,0,0,0,0,1,0.558,0,1,0,0,0.558,0,0,0,0,0
"91",37,1,3,2,0,0,0,1,1,0.558,0,0,1,0,0,0.558,0,0,0,0
"92",38,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"93",38,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"94",38,2,3,3,0,0.703,0.703,1,1,0,1,0,0,1,0,0,0,0,0,1
"95",39,1,2,1,0,0.391,0.391,1,0,0.391,1,0,0,0,0.391,0,0,1,0,0
"96",39,1,3,2,0,0.391,0.391,0,0,0.391,1,0,0,0,0,0.391,0,0,1,0
"97",39,2,3,3,0.391,1.493,1.102,1,0,0.391,1,0,0,0,0,0,0.391,0,0,1
"98",40,1,2,1,0,0.022,0.022,0,0,0.866,0,0,0,0,0.866,0,0,0,0,0
"99",40,1,3,2,0,0.022,0.022,1,0,0.866,0,0,0,0,0,0.866,0,0,0,0
"100",41,1,2,1,0,0.019,0.019,0,0,0.152,0,0,0,0,0.152,0,0,0,0,0
"101",41,1,3,2,0,0.019,0.019,1,0,0.152,0,0,0,0,0,0.152,0,0,0,0
"102",42,1,2,1,0,0,0,0,1,0.645,0,1,0,0,0.645,0,0,0,0,0
"103",42,1,3,2,0,0,0,1,1,0.645,0,0,1,0,0,0.645,0,0,0,0
"104",43,1,2,1,0,1.123,1.123,1,0,1.123,1,0,0,0,1.123,0,0,1,0,0
"105",43,1,3,2,0,1.123,1.123,0,0,1.123,1,0,0,0,0,1.123,0,0,1,0
"106",43,2,3,3,1.123,1.224,0.101,1,0,1.123,1,0,0,0,0,0,1.123,0,0,1
"107",44,1,2,1,0,0.018,0.018,0,0,0.104,1,0,0,0,0.104,0,0,1,0,0
"108",44,1,3,2,0,0.018,0.018,1,0,0.104,1,0,0,0,0,0.104,0,0,1,0
"109",45,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"110",45,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"111",45,2,3,3,0,0.3,0.3,0,1,0,1,0,0,1,0,0,0,0,0,1
"112",46,1,2,1,0,0.13,0.13,1,0,0.13,1,0,0,0,0.13,0,0,1,0,0
"113",46,1,3,2,0,0.13,0.13,0,0,0.13,1,0,0,0,0,0.13,0,0,1,0
"114",46,2,3,3,0.13,4.406,4.276,1,0,0.13,1,0,0,0,0,0,0.13,0,0,1
"115",47,1,2,1,0,0.082,0.082,1,0,0.082,0,0,0,0,0.082,0,0,0,0,0
"116",47,1,3,2,0,0.082,0.082,0,0,0.082,0,0,0,0,0,0.082,0,0,0,0
"117",47,2,3,3,0.082,1.398,1.316,1,0,0.082,0,0,0,0,0,0,0.082,0,0,0
"118",48,1,2,1,0,1.19,1.19,0,0,1.78,0,0,0,0,1.78,0,0,0,0,0
"119",48,1,3,2,0,1.19,1.19,1,0,1.78,0,0,0,0,0,1.78,0,0,0,0
"120",49,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"121",49,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
"122",49,2,3,3,0,0.063,0.063,1,1,0,1,0,0,1,0,0,0,0,0,1
"123",50,1,2,1,0,0.172,0.172,0,0,1.555,1,0,0,0,1.555,0,0,1,0,0
"124",50,1,3,2,0,0.172,0.172,1,0,1.555,1,0,0,0,0,1.555,0,0,1,0
